transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,is_fraud_simulated,fraud_pattern,hour,day_of_week,historical_avg_amount,amount_deviation,transactions_last_hour,average_transaction_amount,time_since_last_transaction,recipient_frequency,device_changed,location_changed,iqr_flag,isolation_forest_flag,isolation_forest_score
TXN06577,2026-01-01 08:00:21,USR00003,USR00022,3407.45,Education,P2P,Lucknow,Web,AmazonPay,0,none,8,3,3407.45,0.0,0,3407.45,-1.0,0,0,0,0,0,0.1393277954392752
TXN03462,2026-01-01 08:02:48,USR00063,USR00485,7523.1,P2P Transfer,P2M,Bengaluru,Android_Phone,Paytm,0,none,8,3,7523.1,0.0,0,7523.1,-1.0,0,0,0,0,0,0.12949012660824966
TXN02319,2026-01-01 08:20:40,USR00096,USR00106,2014.34,Fuel,P2P,Delhi,iPhone,Paytm,0,none,8,3,2014.34,0.0,0,2014.34,-1.0,0,0,0,0,0,0.14256231258014734
TXN09477,2026-01-01 08:21:50,USR00290,USR00428,813.73,Food Delivery,P2M,Ahmedabad,Web,GPay,1,"high_amount,new_device",8,3,813.73,0.0,0,813.73,-1.0,0,0,0,0,0,0.14438537671197532
TXN08685,2026-01-01 08:32:34,USR00136,USR00093,362.93,Entertainment,P2M,Nagpur,Tablet,BHIM,0,none,8,3,362.93,0.0,0,362.93,-1.0,0,0,0,0,0,0.14404522976337164
TXN07353,2026-01-01 08:38:44,USR00149,USR00066,874.47,Grocery,P2P,Jaipur,iPhone,GPay,0,none,8,3,874.47,0.0,0,874.47,-1.0,0,0,0,0,0,0.14438537671197532
TXN05222,2026-01-01 08:51:19,USR00409,USR00479,250.27,Grocery,P2P,Delhi,Android_Phone,BHIM,0,none,8,3,250.27,0.0,0,250.27,-1.0,0,0,0,0,0,0.14178940904079412
TXN05963,2026-01-01 08:57:28,USR00363,USR00371,1416.66,Travel,P2M,Hyderabad,Android_Phone,AmazonPay,0,none,8,3,1416.66,0.0,0,1416.66,-1.0,0,0,0,0,0,0.14388912023400552
TXN02632,2026-01-01 09:10:15,USR00105,USR00188,245.71,Food Delivery,P2P,Delhi,iPhone,Paytm,0,none,9,3,245.71,0.0,0,245.71,-1.0,0,0,0,0,0,0.14478233923385436
TXN04269,2026-01-01 09:53:00,USR00499,USR00195,426.24,Rent,P2M,Surat,Tablet,BHIM,0,none,9,3,426.24,0.0,0,426.24,-1.0,0,0,0,0,0,0.1469903350317877
TXN06914,2026-01-01 09:54:37,USR00064,USR00397,753.83,Grocery,P2P,Lucknow,Tablet,BHIM,0,none,9,3,753.83,0.0,0,753.83,-1.0,0,0,0,0,0,0.14724849409788582
TXN09386,2026-01-01 09:59:59,USR00375,USR00367,3081.93,Fuel,P2P,Bengaluru,iPhone,PhonePe,0,none,9,3,3081.93,0.0,0,3081.93,-1.0,0,0,0,0,0,0.14378818230513313
TXN02490,2026-01-01 10:03:01,USR00389,USR00261,115.93,Travel,P2M,Mumbai,iPhone,GPay,0,none,10,3,115.93,0.0,0,115.93,-1.0,0,0,0,0,0,0.1465613673234757
TXN03919,2026-01-01 10:03:43,USR00437,USR00395,724.3,Rent,P2P,Pune,iPhone,Paytm,0,none,10,3,724.3,0.0,0,724.3,-1.0,0,0,0,0,0,0.15022635059588813
TXN03363,2026-01-01 10:08:49,USR00414,USR00096,8339.54,Healthcare,P2P,Hyderabad,Tablet,BHIM,0,none,10,3,8339.54,0.0,0,8339.54,-1.0,0,0,0,0,0,0.13293717999463045
TXN05470,2026-01-01 10:15:14,USR00441,USR00289,56.58,Entertainment,P2M,Chennai,Android_Phone,PhonePe,0,none,10,3,56.58,0.0,0,56.58,-1.0,0,0,0,0,0,0.14549416700793805
TXN04971,2026-01-01 10:19:59,USR00135,USR00375,317.31,Food Delivery,P2P,Chennai,Android_Phone,GPay,0,none,10,3,317.31,0.0,0,317.31,-1.0,0,0,0,0,0,0.14950593694116232
TXN02522,2026-01-01 10:23:31,USR00170,USR00315,10603.71,Entertainment,P2M,Bengaluru,Web,AmazonPay,0,none,10,3,10603.71,0.0,0,10603.71,-1.0,0,0,0,0,0,0.126071317048849
TXN05957,2026-01-01 10:28:24,USR00150,USR00481,357.69,Travel,P2P,Chennai,iPhone,AmazonPay,0,none,10,3,357.69,0.0,0,357.69,-1.0,0,0,0,0,0,0.14992437338301157
TXN01621,2026-01-01 10:30:12,USR00290,USR00428,61.46,Food Delivery,P2M,Ahmedabad,Tablet,GPay,0,none,10,3,813.73,0.0,0,813.73,128.36666666666667,1,1,0,0,1,-0.03404749208212976
TXN06336,2026-01-01 10:41:14,USR00156,USR00416,8461.84,Rent,P2P,Pune,Tablet,AmazonPay,0,none,10,3,8461.84,0.0,0,8461.84,-1.0,0,0,0,0,0,0.13293717999463045
TXN07785,2026-01-01 10:57:50,USR00363,USR00101,2105.35,Shopping,P2P,Hyderabad,Android_Phone,AmazonPay,0,none,10,3,1416.66,0.0,0,1416.66,120.36666666666666,0,0,0,0,0,0.14733803347033503
TXN09920,2026-01-01 10:58:26,USR00020,USR00031,3873.46,Grocery,P2M,Lucknow,Android_Phone,BHIM,1,high_amount,10,3,3873.46,0.0,0,3873.46,-1.0,0,0,0,0,0,0.14166758937346158
TXN09567,2026-01-01 11:02:45,USR00224,USR00352,247.13,Travel,P2P,Mumbai,Web,Paytm,1,"rapid_burst,new_receiver",11,3,247.13,0.0,0,247.13,-1.0,0,0,0,0,0,0.14889486721329526
TXN01518,2026-01-01 11:04:10,USR00469,USR00429,585.39,Entertainment,P2M,Mumbai,iPhone,GPay,0,none,11,3,783.89,0.0,0,783.89,300.1,0,0,0,0,0,0.1518188768211427
TXN02327,2026-01-01 11:04:12,USR00494,USR00378,9524.54,Rent,P2P,Bengaluru,iPhone,AmazonPay,0,none,11,3,9524.54,0.0,0,9524.54,-1.0,0,0,0,0,0,0.13271824340555743
TXN09227,2026-01-01 11:04:26,USR00387,USR00113,1711.34,Entertainment,P2M,Delhi,Tablet,Paytm,0,none,11,3,1711.34,0.0,0,1711.34,-1.0,0,0,0,0,0,0.15136695953468332
TXN05456,2026-01-01 11:06:17,USR00379,USR00103,228.37,Food Delivery,P2P,Pune,Android_Phone,AmazonPay,0,none,11,3,228.37,0.0,0,228.37,-1.0,0,0,0,0,0,0.14889486721329526
TXN00573,2026-01-01 11:09:49,USR00467,USR00255,6037.97,Shopping,P2M,Mumbai,Web,GPay,0,none,11,3,6037.97,0.0,0,6037.97,-1.0,0,0,0,0,0,0.13938038009825815
TXN04903,2026-01-01 11:18:02,USR00138,USR00188,16661.81,Rent,P2P,Surat,Android_Phone,BHIM,0,none,11,3,16661.81,0.0,0,16661.81,-1.0,0,0,0,1,0,0.09338727633372829
TXN04703,2026-01-01 11:31:53,USR00291,USR00283,9127.84,Education,P2P,Lucknow,Tablet,BHIM,0,none,11,3,9127.84,0.0,0,9127.84,-1.0,0,0,0,0,0,0.1335595086323248
TXN07838,2026-01-01 11:40:35,USR00242,USR00352,11434.05,Utilities,P2P,Kolkata,Android_Phone,Paytm,0,none,11,3,11434.05,0.0,0,11434.05,-1.0,0,0,0,0,0,0.1255194162411784
TXN02092,2026-01-01 11:40:48,USR00182,USR00067,2079.0,Travel,P2M,Delhi,Tablet,BHIM,0,none,11,3,2079.0,0.0,0,2079.0,-1.0,0,0,0,0,0,0.14988996950457478
TXN03899,2026-01-01 11:56:59,USR00184,USR00478,12560.04,Entertainment,P2P,Jaipur,Android_Phone,GPay,0,none,11,3,12560.04,0.0,0,12560.04,-1.0,0,0,0,0,0,0.12038546724426841
TXN02991,2026-01-01 12:08:20,USR00222,USR00053,99.29,Shopping,P2M,Chennai,iPhone,Paytm,0,none,12,3,99.29,0.0,0,99.29,-1.0,0,0,0,0,0,0.14866294965489646
TXN04316,2026-01-01 12:12:35,USR00469,USR00471,594.09,Fuel,P2M,Mumbai,iPhone,GPay,0,none,12,3,684.64,-0.912342569269521,0,684.64,68.41666666666667,0,0,0,0,0,0.1505342187379527
TXN02784,2026-01-01 12:19:15,USR00387,USR00113,1295.59,Education,P2M,Delhi,Tablet,Paytm,0,none,12,3,1711.34,0.0,0,1711.34,74.81666666666666,1,0,0,0,0,0.1567229690590458
TXN06764,2026-01-01 12:32:44,USR00005,USR00189,6450.65,Entertainment,P2P,Surat,Tablet,Paytm,0,none,12,3,6450.65,0.0,0,6450.65,-1.0,0,0,0,0,0,0.13938828037056084
TXN05340,2026-01-01 12:34:40,USR00037,USR00280,629.0,Education,P2M,Lucknow,iPhone,Paytm,0,none,12,3,629.0,0.0,0,629.0,-1.0,0,0,0,0,0,0.1530809903900045
TXN06075,2026-01-01 12:40:09,USR00342,USR00364,729.31,Grocery,P2P,Nagpur,Web,PhonePe,0,none,12,3,729.31,0.0,0,729.31,-1.0,0,0,0,0,0,0.152834298787983
TXN00381,2026-01-01 12:40:14,USR00253,USR00488,230.05,Education,P2P,Hyderabad,Android_Phone,PhonePe,0,none,12,3,230.05,0.0,0,230.05,-1.0,0,0,0,0,0,0.14979879900284732
TXN08076,2026-01-01 12:40:34,USR00457,USR00305,8126.65,Travel,P2M,Lucknow,Web,GPay,0,none,12,3,8126.65,0.0,0,8126.65,-1.0,0,0,0,0,0,0.13613126877501608
TXN08109,2026-01-01 12:56:01,USR00071,USR00082,147.5,Utilities,P2P,Surat,Web,Paytm,0,none,12,3,147.5,0.0,0,147.5,-1.0,0,0,0,0,0,0.14877330481490508
TXN04067,2026-01-01 12:59:44,USR00267,USR00135,464.01,Education,P2P,Hyderabad,Tablet,Paytm,0,none,12,3,464.01,0.0,0,464.01,-1.0,0,0,0,0,0,0.1527204868698151
TXN02013,2026-01-01 13:23:52,USR00468,USR00125,7291.67,Fuel,P2M,Delhi,Tablet,AmazonPay,0,none,13,3,7291.67,0.0,0,7291.67,-1.0,0,0,0,0,0,0.1384164516118016
TXN05992,2026-01-01 13:43:49,USR00058,USR00188,9513.84,Fuel,P2P,Hyderabad,iPhone,AmazonPay,0,none,13,3,9513.84,0.0,0,9513.84,-1.0,0,0,0,0,0,0.1356652472076787
TXN05227,2026-01-01 13:43:53,USR00427,USR00326,578.32,Rent,P2M,Jaipur,Web,AmazonPay,0,none,13,3,578.32,0.0,0,578.32,-1.0,0,0,0,0,0,0.15424850620470704
TXN02035,2026-01-01 13:54:36,USR00222,USR00247,152.73,Utilities,P2M,Chennai,iPhone,Paytm,0,none,13,3,99.29,0.0,0,99.29,106.26666666666668,0,0,0,0,0,0.1495084795577502
TXN01938,2026-01-01 14:21:11,USR00243,USR00026,10692.55,Grocery,P2M,Chennai,Android_Phone,Paytm,0,none,14,3,10692.55,0.0,0,10692.55,-1.0,0,0,0,0,0,0.12455066891899524
TXN04911,2026-01-01 14:37:34,USR00194,USR00300,5020.71,Grocery,P2M,Delhi,Android_Phone,AmazonPay,0,none,14,3,5020.71,0.0,0,5020.71,-1.0,0,0,0,0,0,0.14028501639809798
TXN02043,2026-01-01 14:39:11,USR00294,USR00166,438.06,Food Delivery,P2P,Delhi,Android_Phone,Paytm,0,none,14,3,438.06,0.0,0,438.06,-1.0,0,0,0,0,0,0.1507922689159646
TXN01131,2026-01-01 14:39:53,USR00294,USR00166,432.63,Grocery,P2P,Delhi,Android_Phone,Paytm,0,none,14,3,438.06,0.0,1,438.06,0.7,1,0,0,1,0,0.07384486979009813
TXN02906,2026-01-01 15:00:03,USR00220,USR00340,99.77,Travel,P2M,Delhi,Android_Phone,PhonePe,0,none,15,3,99.77,0.0,0,99.77,-1.0,0,0,0,0,0,0.14918753713296845
TXN09841,2026-01-01 15:06:08,USR00168,USR00478,445.29,Healthcare,P2P,Chennai,Android_Phone,Paytm,1,new_device,15,3,445.29,0.0,0,445.29,-1.0,0,0,0,0,0,0.1534705622470381
TXN01822,2026-01-01 15:08:23,USR00076,USR00404,2938.8,Fuel,P2M,Delhi,iPhone,Paytm,0,none,15,3,2938.8,0.0,0,2938.8,-1.0,0,0,0,0,0,0.15092156853167393
TXN00969,2026-01-01 15:20:04,USR00084,USR00073,2399.63,Utilities,P2M,Ahmedabad,iPhone,Paytm,0,none,15,3,2399.63,0.0,0,2399.63,-1.0,0,0,0,0,0,0.1513442810524422
TXN01752,2026-01-01 15:24:07,USR00040,USR00322,2921.29,Healthcare,P2P,Ahmedabad,Android_Phone,BHIM,0,none,15,3,2921.29,0.0,0,2921.29,-1.0,0,0,0,0,0,0.15092156853167393
TXN07055,2026-01-01 15:39:09,USR00143,USR00271,4375.82,Grocery,P2P,Chennai,Web,Paytm,0,none,15,3,4375.82,0.0,0,4375.82,-1.0,0,0,0,0,0,0.1436870984332279
TXN08790,2026-01-01 15:39:13,USR00412,USR00116,1249.82,P2P Transfer,P2P,Jaipur,Tablet,GPay,0,none,15,3,1249.82,0.0,0,1249.82,-1.0,0,0,0,0,0,0.1532751351097879
TXN06652,2026-01-01 15:49:40,USR00022,USR00366,4364.14,Healthcare,P2P,Hyderabad,Web,PhonePe,0,none,15,3,4364.14,0.0,0,4364.14,-1.0,0,0,0,0,0,0.1436870984332279
TXN07722,2026-01-01 15:56:11,USR00322,USR00261,387.92,Fuel,P2M,Kolkata,iPhone,AmazonPay,0,none,15,3,387.92,0.0,0,387.92,-1.0,0,0,0,0,0,0.15275867436455198
TXN02507,2026-01-01 16:09:57,USR00305,USR00364,590.06,Utilities,P2P,Hyderabad,iPhone,Paytm,0,none,16,3,590.06,0.0,0,590.06,-1.0,0,0,0,0,0,0.15085859065057805
TXN03943,2026-01-01 16:11:39,USR00037,USR00280,757.97,Fuel,P2M,Lucknow,iPhone,Paytm,0,none,16,3,629.0,0.0,0,629.0,216.9833333333333,1,0,0,0,0,0.15698078799924187
TXN05219,2026-01-01 16:26:50,USR00115,USR00463,2248.32,Utilities,P2P,Jaipur,Android_Phone,PhonePe,0,none,16,3,2248.32,0.0,0,2248.32,-1.0,0,0,0,0,0,0.14876771748474915
TXN05996,2026-01-01 16:28:10,USR00256,USR00364,586.24,Fuel,P2P,Jaipur,Web,AmazonPay,0,none,16,3,586.24,0.0,0,586.24,-1.0,0,0,0,0,0,0.15085859065057805
TXN02554,2026-01-01 16:30:08,USR00267,USR00046,216.61,P2P Transfer,P2P,Hyderabad,Tablet,Paytm,0,none,16,3,464.01,0.0,0,464.01,210.4,0,0,0,0,0,0.14830614947659176
TXN03675,2026-01-01 16:30:26,USR00379,USR00008,246.79,Food Delivery,P2M,Pune,Android_Phone,AmazonPay,0,none,16,3,228.37,0.0,0,228.37,324.15,0,0,0,0,0,0.14790454420084514
TXN05672,2026-01-01 16:45:51,USR00343,USR00277,2221.16,Entertainment,P2P,Nagpur,iPhone,Paytm,0,none,16,3,2221.16,0.0,0,2221.16,-1.0,0,0,0,0,0,0.14901903634433245
TXN03483,2026-01-01 16:48:18,USR00043,USR00266,1860.41,Utilities,P2M,Pune,Web,PhonePe,0,none,16,3,1860.41,0.0,0,1860.41,-1.0,0,0,0,0,0,0.15011171869439216
TXN09192,2026-01-01 16:52:16,USR00253,USR00373,281.75,Food Delivery,P2P,Hyderabad,Android_Phone,PhonePe,0,none,16,3,230.05,0.0,0,230.05,252.03333333333333,0,0,0,0,0,0.14830614947659176
TXN04208,2026-01-01 16:53:36,USR00171,USR00169,4773.32,Utilities,P2P,Mumbai,iPhone,BHIM,0,none,16,3,4773.32,0.0,0,4773.32,-1.0,0,0,0,0,0,0.1410980456742555
TXN00789,2026-01-01 17:03:16,USR00180,USR00390,1034.87,Fuel,P2M,Jaipur,Tablet,AmazonPay,0,none,17,3,1034.87,0.0,0,1034.87,-1.0,0,0,0,0,0,0.149818357500634
TXN08217,2026-01-01 17:05:42,USR00422,USR00184,998.77,Shopping,P2P,Ahmedabad,Web,PhonePe,0,none,17,3,865.78,0.0,0,865.78,548.2666666666667,1,0,0,0,0,0.15744983417288444
TXN08135,2026-01-01 17:06:45,USR00405,USR00089,3306.95,Utilities,P2P,Lucknow,iPhone,Paytm,0,none,17,3,3306.95,0.0,0,3306.95,-1.0,0,0,0,0,0,0.1455931114209683
TXN07755,2026-01-01 17:10:00,USR00309,USR00326,5506.61,Education,P2P,Chennai,iPhone,BHIM,0,none,17,3,5506.61,0.0,0,5506.61,-1.0,0,0,0,0,0,0.13950784583232884
TXN08779,2026-01-01 17:32:48,USR00054,USR00374,2374.72,Education,P2M,Ahmedabad,Tablet,PhonePe,0,none,17,3,2374.72,0.0,0,2374.72,-1.0,0,0,0,0,0,0.14787929663917315
TXN09048,2026-01-01 17:33:31,USR00481,USR00191,932.29,Shopping,P2M,Bengaluru,Web,GPay,0,none,17,3,932.29,0.0,0,932.29,-1.0,0,0,0,0,0,0.14911268551719825
TXN03582,2026-01-01 17:48:48,USR00367,USR00041,1814.07,Travel,P2P,Surat,iPhone,AmazonPay,0,none,17,3,1814.07,0.0,0,1814.07,-1.0,0,0,0,0,0,0.1492264934419123
TXN09682,2026-01-01 17:56:48,USR00397,USR00434,1235.97,Healthcare,P2P,Lucknow,iPhone,Paytm,1,"new_device,new_location",17,3,1235.97,0.0,0,1235.97,-1.0,0,0,0,0,0,0.14939605726235372
TXN00703,2026-01-01 17:57:58,USR00344,USR00216,434.81,Grocery,P2P,Surat,Tablet,AmazonPay,0,none,17,3,434.81,0.0,0,434.81,-1.0,0,0,0,0,0,0.1499751412141091
TXN04530,2026-01-01 18:01:18,USR00285,USR00487,3691.08,Shopping,P2P,Mumbai,Web,Paytm,0,none,18,3,3691.08,0.0,0,3691.08,-1.0,0,0,0,0,0,0.1385850457422541
TXN05322,2026-01-01 18:03:56,USR00043,USR00398,2118.67,Fuel,P2M,Pune,Web,PhonePe,0,none,18,3,1860.41,0.0,0,1860.41,75.63333333333334,0,0,0,0,0,0.14345965054176418
TXN09325,2026-01-01 18:12:50,USR00299,USR00309,261.05,Utilities,P2P,Nagpur,Web,PhonePe,0,none,18,3,261.05,0.0,0,261.05,-1.0,0,0,0,0,0,0.14239911758939183
TXN09816,2026-01-01 18:21:26,USR00360,USR00152,2516.01,Travel,P2P,Mumbai,Tablet,Paytm,1,new_location,18,3,2516.01,0.0,0,2516.01,-1.0,0,0,0,0,0,0.14350354185982095
TXN03613,2026-01-01 18:28:35,USR00147,USR00283,123.97,Education,P2M,Mumbai,Tablet,AmazonPay,0,none,18,3,123.97,0.0,0,123.97,-1.0,0,0,0,0,0,0.14183549146451074
TXN09429,2026-01-01 18:29:41,USR00419,USR00200,1291.7,Travel,P2M,Mumbai,iPhone,BHIM,1,rapid_burst,18,3,1291.7,0.0,0,1291.7,-1.0,0,0,0,0,0,0.1451033178165228
TXN05066,2026-01-01 18:33:16,USR00407,USR00149,1713.85,Utilities,P2M,Pune,Web,Paytm,0,none,18,3,1713.85,0.0,0,1713.85,-1.0,0,0,0,0,0,0.14505791873767382
TXN01274,2026-01-01 18:36:03,USR00003,USR00235,2358.64,P2P Transfer,P2P,Lucknow,Web,AmazonPay,0,none,18,3,3407.45,0.0,0,3407.45,635.7,0,0,0,0,0,0.1460598259780413
TXN05790,2026-01-01 18:52:44,USR00070,USR00325,1777.64,Shopping,P2M,Hyderabad,Tablet,BHIM,0,none,18,3,1777.64,0.0,0,1777.64,-1.0,0,0,0,0,0,0.14505791873767382
TXN04884,2026-01-01 18:56:38,USR00406,USR00489,611.46,Food Delivery,P2M,Lucknow,Tablet,PhonePe,0,none,18,3,611.46,0.0,0,611.46,-1.0,0,0,0,0,0,0.1458331706877794
TXN02801,2026-01-01 19:03:18,USR00420,USR00197,1882.92,P2P Transfer,P2P,Nagpur,Android_Phone,BHIM,0,none,19,3,1882.92,0.0,0,1882.92,-1.0,0,0,0,0,0,0.14257479977895687
TXN02910,2026-01-01 19:09:51,USR00477,USR00242,163.42,Shopping,P2M,Surat,Web,PhonePe,0,none,19,3,163.42,0.0,0,163.42,-1.0,0,0,0,0,0,0.14073334209392763
TXN00950,2026-01-01 19:17:44,USR00164,USR00268,180.4,Travel,P2M,Lucknow,Android_Phone,BHIM,0,none,19,3,180.4,0.0,0,180.4,-1.0,0,0,0,0,0,0.14073334209392763
TXN02744,2026-01-01 19:27:59,USR00214,USR00483,1339.89,P2P Transfer,P2M,Chennai,Android_Phone,BHIM,0,none,19,3,1339.89,0.0,0,1339.89,-1.0,0,0,0,0,0,0.14354633577448866
TXN06385,2026-01-01 19:49:01,USR00292,USR00317,192.76,Healthcare,P2M,Jaipur,Android_Phone,PhonePe,0,none,19,3,192.76,0.0,0,192.76,-1.0,0,0,0,0,0,0.14073334209392763
TXN04656,2026-01-01 19:52:35,USR00432,USR00375,174.6,Rent,P2M,Jaipur,Web,Paytm,0,none,19,3,174.6,0.0,0,174.6,-1.0,0,0,0,0,0,0.14073334209392763
TXN04085,2026-01-01 19:53:33,USR00380,USR00047,15107.93,Fuel,P2M,Jaipur,Android_Phone,AmazonPay,0,none,19,3,15107.93,0.0,0,15107.93,-1.0,0,0,0,0,0,0.0919739391121559
TXN09582,2026-01-01 19:59:19,USR00040,USR00453,2917.95,Rent,P2P,Ahmedabad,Android_Phone,BHIM,1,rapid_burst,19,3,2921.29,0.0,0,2921.29,275.2,0,0,0,0,0,0.14136622220261097
TXN09613,2026-01-01 20:03:59,USR00114,USR00268,466.02,Rent,P2M,Kolkata,iPhone,Paytm,1,rapid_burst,20,3,466.02,0.0,0,466.02,-1.0,0,0,0,0,0,0.13826442689960555
TXN05376,2026-01-01 20:28:08,USR00207,USR00039,11408.11,Healthcare,P2M,Nagpur,iPhone,PhonePe,0,none,20,3,11408.11,0.0,0,11408.11,-1.0,0,0,0,0,0,0.10860426989681515
TXN09465,2026-01-01 20:48:35,USR00355,USR00370,2507.11,Rent,P2P,Delhi,iPhone,AmazonPay,1,"new_receiver,new_device",20,3,2507.11,0.0,0,2507.11,-1.0,0,0,0,0,0,0.13421436010786314
TXN04323,2026-01-01 20:51:06,USR00218,USR00419,612.91,Grocery,P2P,Nagpur,Web,BHIM,0,none,20,3,612.91,0.0,0,612.91,-1.0,0,0,0,0,0,0.13861601277395935
TXN03274,2026-01-01 20:55:22,USR00393,USR00246,8776.51,Food Delivery,P2P,Lucknow,Tablet,Paytm,0,none,20,3,8776.51,0.0,0,8776.51,-1.0,0,0,0,0,0,0.11781614864744094
TXN02923,2026-01-01 21:10:45,USR00071,USR00082,156.23,Entertainment,P2P,Surat,Web,Paytm,0,none,21,3,147.5,0.0,0,147.5,494.73333333333335,1,0,0,0,0,0.1380485439859947
TXN02875,2026-01-01 21:13:35,USR00473,USR00181,10248.07,Grocery,P2P,Hyderabad,Web,AmazonPay,0,none,21,3,10248.07,0.0,0,10248.07,-1.0,0,0,0,0,0,0.10656121397203017
TXN00576,2026-01-01 21:22:56,USR00382,USR00448,402.4,Food Delivery,P2P,Delhi,iPhone,Paytm,0,none,21,3,402.4,0.0,0,402.4,-1.0,0,0,0,0,0,0.13142387743221462
TXN05264,2026-01-01 21:37:47,USR00371,USR00189,495.84,Entertainment,P2M,Pune,Tablet,PhonePe,0,none,21,3,495.84,0.0,0,495.84,-1.0,0,0,0,0,0,0.1322081259479544
TXN08509,2026-01-01 21:40:28,USR00258,USR00241,401.16,Shopping,P2M,Pune,Android_Phone,BHIM,0,none,21,3,401.16,0.0,0,401.16,-1.0,0,0,0,0,0,0.13142387743221462
TXN06479,2026-01-01 21:57:13,USR00327,USR00375,8983.72,Education,P2P,Lucknow,Tablet,Paytm,0,none,21,3,8983.72,0.0,0,8983.72,-1.0,0,0,0,0,0,0.11065587915077879
TXN04958,2026-01-01 22:08:41,USR00046,USR00112,12589.65,Food Delivery,P2P,Jaipur,Tablet,Paytm,0,none,22,3,12589.65,0.0,0,12589.65,-1.0,0,0,0,0,0,0.0921251183241712
TXN03035,2026-01-01 22:11:16,USR00219,USR00273,1107.18,Travel,P2M,Delhi,Tablet,AmazonPay,0,none,22,3,1107.18,0.0,0,1107.18,-1.0,0,0,0,0,0,0.12548827214260477
TXN05985,2026-01-01 22:27:24,USR00026,USR00175,938.76,Travel,P2M,Lucknow,Web,Paytm,0,none,22,3,938.76,0.0,0,938.76,-1.0,0,0,0,0,0,0.12510879909410627
TXN02626,2026-01-01 22:32:54,USR00011,USR00390,9828.76,Healthcare,P2M,Surat,Web,AmazonPay,0,none,22,3,9828.76,0.0,0,9828.76,-1.0,0,0,0,0,0,0.10134654494368855
TXN07759,2026-01-01 22:34:24,USR00255,USR00064,6358.51,Entertainment,P2P,Bengaluru,Web,Paytm,0,none,22,3,6358.51,0.0,0,6358.51,-1.0,0,0,0,0,0,0.11282964162501452
